kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr,label
11015108,K00344.01,Kepler-530 b,CONFIRMED,CANDIDATE,1.0,39.30944096,1132.1,5.77,2.87,0.2212,488.0,122.9,1
8655076,K05555.01,,FALSE POSITIVE,FALSE POSITIVE,,42.070868,386.2,1.293,1.82,0.2242,469.0,5.7,0
2438513,K01944.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,8.3606759,194.8,6.287,1.49,0.0802,929.0,17.7,0
10854546,K02104.01,Kepler-1099 b,CONFIRMED,CANDIDATE,1.0,2.168451063,466.9,1.458,2.41,0.0337,1558.0,45.5,1
8240109,K06998.01,,FALSE POSITIVE,FALSE POSITIVE,0.002,2.30118753,87537.0,7.8216,140.23,0.0423,2783.0,404.8,0
5683743,K00412.01,Kepler-546 b,CONFIRMED,CANDIDATE,0.922,4.147021189,3680.7,2.8997,7.31,0.0502,1258.0,421.2,1
8265990,K07006.01,,FALSE POSITIVE,FALSE POSITIVE,,0.77996263,25.7,3.369,0.83,0.0168,2607.0,9.7,0
2574338,K01030.01,Kepler-1733 b,CONFIRMED,CANDIDATE,0.997,9.22961384,492.1,2.235,2.79,0.0933,1021.0,19.3,1
9178185,K03868.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.992704682,361.1,1.2585,7.86,0.0491,2328.0,39.9,0
6428942,K06706.01,,FALSE POSITIVE,FALSE POSITIVE,,534.86668,565.0,8.19,4.3,1.4391,328.0,8.3,0
5602409,K05181.01,,FALSE POSITIVE,FALSE POSITIVE,,136.830243,464.3,2.956,17.22,0.6957,764.0,8.4,0
10419312,K02412.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.493237866,259.2,2.644,9.48,0.04,2241.0,20.7,0
9662475,K05703.01,,FALSE POSITIVE,FALSE POSITIVE,,247.372131,513.4,3.271,2.47,0.7729,290.0,12.4,0
5652237,K00164.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,4.4645454,194.3,2.8823,3.07,0.0559,1601.0,37.6,0
10226420,K08288.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.660663034,134.0,2.81,1.32,0.0157,2385.0,23.3,0
8546464,K05535.01,,FALSE POSITIVE,FALSE POSITIVE,,253.652263,26456.0,3.85,1169.79,0.6442,159.0,59.9,0
3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,0.745,60.32494216,20280.4,6.6188,12.19,0.2998,411.0,347.2,1
6707260,K05318.01,,FALSE POSITIVE,FALSE POSITIVE,,13.4256161,142.3,11.781,1.66,0.1189,987.0,12.5,0
5980800,K03882.01,,FALSE POSITIVE,FALSE POSITIVE,,0.828326025,10718.0,1.42721,49.67,0.0163,1845.0,164.5,0
5272878,K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,1.0,6.365839713,780.7,2.9721,2.44,0.0659,914.0,70.8,1
5653849,K03711.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,111.0396205,9356.2,25.751,8.6,0.4038,335.0,201.9,0
4764774,K04825.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,1.29019586,86.5,3.741,0.78,0.0227,1530.0,11.1,0
8937019,K03754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,5.663604992,163385.0,1.4283,54.55,0.0623,1021.0,169.4,0
8733898,K02842.03,Kepler-446 c,CONFIRMED,CANDIDATE,0.947,3.036208739,1820.5,0.9324,1.4,0.0283,520.0,26.0,1
5529501,K06592.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.51945182,13.7,2.95,0.5,0.0268,1901.0,9.6,0
11147814,K03334.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,95.178317934,128575.0,3.60125,28.75,0.352,272.0,2279.1,0
10965588,K02177.01,Kepler-1132 b,CONFIRMED,CANDIDATE,1.0,62.8917493,791.0,6.831,2.5,0.2881,384.0,22.6,1
7031767,K06806.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.56678012,27.6,3.257,0.49,0.0133,2073.0,13.5,0
8301013,K07013.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.214029545,349110.0,5.64264,94.23,0.0361,1894.0,2680.5,0
9347899,K00935.03,Kepler-31 d,CONFIRMED,CANDIDATE,0.973,87.6476068,1009.6,8.871,4.0,0.3807,484.0,37.5,1
