kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
5977470,K04550.01,Kepler-1653 b,CONFIRMED,CANDIDATE,0.934,140.251943,567.7,6.576,1.84,0.4836,271.0,11.9
11284772,K04622.01,Kepler-441 b,CONFIRMED,CANDIDATE,0.975,207.24785,809.2,6.159,1.56,0.5697,189.0,13.2
6153407,K03179.01,Kepler-1911 b,CONFIRMED,CANDIDATE,1.0,5.99078221,69.9,1.699,1.03,0.0636,987.0,8.6
11519187,K04625.01,Kepler-1964 b,CONFIRMED,CANDIDATE,0.493,2.440839436,509.5,0.968,21.29,0.0322,986.0,14.4
8417078,K04693.01,Kepler-1619 b,CONFIRMED,CANDIDATE,0.991,23.6223571,57.0,6.852,1.07,0.1611,797.0,11.4
9898017,K04484.01,Kepler-1960 b,CONFIRMED,CANDIDATE,1.0,2.29794819,83.2,2.84,0.98,0.0354,1547.0,12.2
6278762,K03158.02,Kepler-444 c,CONFIRMED,CANDIDATE,1.0,4.54586982,76.5,1.756,0.65,0.0475,868.0,24.4
4556468,K04491.01,Kepler-1609 b,CONFIRMED,CANDIDATE,0.944,114.336052,239.8,14.077,2.09,0.4679,429.0,13.0
7747457,K04561.01,Kepler-1613 b,CONFIRMED,CANDIDATE,0.997,1.5184181,196.8,2.842,1.85,0.0264,1926.0,15.9
10026502,K04706.01,Kepler-1620 b,CONFIRMED,CANDIDATE,0.665,101.952048,152.5,5.991,1.31,0.4322,428.0,10.3
9002278,K00701.05,Kepler-62 c,CONFIRMED,CANDIDATE,0.989,12.4418003,78.4,3.572,0.57,0.0942,576.0,11.4
11650401,K04566.01,Kepler-1614 b,CONFIRMED,CANDIDATE,1.0,3.94660745,309.4,2.705,1.4,0.0471,981.0,12.7
6278762,K03158.03,Kepler-444 d,CONFIRMED,CANDIDATE,1.0,6.18943952,83.2,2.3316,0.65,0.0584,783.0,26.8
9100953,K04500.01,Kepler-1610 b,CONFIRMED,CANDIDATE,0.806,8.70179611,304.1,3.048,1.37,0.0777,750.0,11.8
6761777,K04571.01,Kepler-1615 b,CONFIRMED,CANDIDATE,0.995,47.3128645,217.4,11.444,3.71,0.2788,658.0,17.6
9412623,K04640.01,Kepler-1618 b,CONFIRMED,CANDIDATE,0.987,6.1082945,61.1,3.493,1.06,0.0706,1267.0,10.8
4735826,K03184.01,Kepler-1972 b,CONFIRMED,CANDIDATE,1.0,7.545922037,22.2,4.0329,0.68,0.0763,1084.0,13.4
