kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
10651816,K03953.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.1877519,452.3,14.836,19.66,0.041,1141.0,83.2
6964043,K01351.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,10.72396374,13518.0,3.8439,39.84,0.0896,783.0,127.7
3644523,K01195.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,119.67747,3254.1,32.274,36.8,0.4832,379.0,52.0
11909686,K01483.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,185.9526325,11106.9,3.5964,50.98,0.6498,343.0,147.3
12644769,K01611.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,41.077590334,134484.0,6.20583,23.2,0.2001,346.0,5518.2
6233890,K01624.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.99540439,223.2,6.172,65.37,0.0465,2195.0,45.6
7918172,K01817.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,63.934965,1119.5,12.71,44.59,0.3052,525.0,45.6
8009496,K01869.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,38.4769457,259.4,5.825,4.79,0.2348,814.0,18.4
8111919,K02030.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.664980224,230.8,1.7455,3.68,0.0277,1921.0,47.6
8127586,K01752.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,16.6094904,272.9,3.189,1.82,0.1274,766.0,12.7
7117485,K07816.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.566789505,54.6,5.835,3.37,0.0128,2038.0,12.6
2860793,K02277.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.62982665,126.4,6.213,17.88,0.0418,1968.0,24.6
3851130,K02284.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.69787749,116.8,1.915,1.5,0.0361,1512.0,8.3
7257363,K02292.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,5.23340265,242.1,3.242,1.15,0.0552,851.0,12.7
11922722,K02301.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.51289168,131.0,3.313,1.12,0.0432,1161.0,27.3
7203326,K07826.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,9.087508013,140.6,2.7597,1.37,0.0825,987.0,2.5
8030339,K03954.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.65244373,610.7,1.471,2.17,0.0141,1969.0,41.8
9899414,K03955.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.332564704,1049.5,5.9775,30.04,0.0241,1692.0,124.0
5471059,K03956.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.636899795,426.2,0.9105,49.84,0.0362,1179.0,27.6
7458309,K03957.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.660629055,231.6,5.894,17.38,0.0145,2032.0,103.3
7777372,K03958.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.885123683,113.3,3.3865,1.14,0.0181,1961.0,42.0
7377200,K07836.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,471.65421,479.7,3.456,4.11,1.2082,313.0,12.5
6312314,K01625.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.221204888,111.6,1.8511,1.1,0.0213,1772.0,27.3
6468337,K01620.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.959853772,55.8,1.9163,1.3,0.0194,2468.0,27.1
10357040,K01634.01,,FALSE POSITIVE,FALSE POSITIVE,,46.882525,343.5,1.93,1.91,0.2578,513.0,4.9
10514429,K01614.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,20.7191626,184.4,3.912,1.85,0.145,790.0,8.9
8127607,K01919.01,,FALSE POSITIVE,FALSE POSITIVE,,16.60973843,667.8,4.515,6.64,0.1197,579.0,29.7
8129042,K01743.01,,FALSE POSITIVE,FALSE POSITIVE,,54.323118,538.0,25.863,5.06,0.3182,706.0,19.2
8180020,K01741.01,,FALSE POSITIVE,FALSE POSITIVE,0.002,5.803127153,58570.0,4.9041,19.04,0.0604,886.0,639.3
8223328,K01767.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,35.51619219,10984.0,2.5,719.49,0.2032,504.0,85.4
8444552,K01769.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.589049151,61953.4,2.25397,39.51,0.0122,1959.0,1227.6
6032517,K02070.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.791406261,345.5,2.8159,4.51,0.0298,1579.0,60.7
4768846,K02077.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.25483232,117.6,2.67,2.89,0.0252,2748.0,11.4
8260234,K02085.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,5.71483873,286.2,2.748,1.26,0.0559,842.0,18.0
7210749,K07828.01,,FALSE POSITIVE,FALSE POSITIVE,0.131,17.5859472,509.5,3.815,2.24,0.1326,700.0,8.4
9282769,K03959.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.332567005,401.3,6.3373,27.36,0.0241,2007.0,110.6
7777416,K03960.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.54557259,529.0,5.636,1.97,0.036,1234.0,36.0
7597005,K03961.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.704541784,275.2,1.0726,1.72,0.0161,2121.0,38.4
5479717,K03962.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.697996932,9094.6,4.3323,28.06,0.0141,1604.0,244.1
3764714,K03963.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,6.63449721,919.1,22.982,85.25,0.078,1719.0,160.1
11392618,K01623.01,,FALSE POSITIVE,FALSE POSITIVE,0.188,110.9215892,498.0,5.282,3.71,0.4494,443.0,48.2
4474645,K01657.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.88673217,761.7,20.491,21.04,0.0455,1050.0,119.0
